Title,URL,Avg Score,Scores,Raise Count,Type,Meta Recommendation,Meta Confidence,Evidence
CubeDiff: Repurposing Diffusion-Based Image Models for Panorama Generation,https://openreview.net/forum?id=M2SsqpxGtc,7.5,"[6, 8, 8, 8]",4,Turnaround,N/A,N/A,"...a size, and my main concerns are resolved. i will increase my score accordingly.... || ...uct properly designed analyses, and i was open to increasing my score. unfortunately, the rebuttal has been quite disappointing, as the authors did not seem to make a serious effort to address these c... || ...uct properly designed analyses, and i was open to increasing my score. unfortunately, the rebuttal has been quite disappointing, as the authors did not seem to make a serious effort to address these c... || ...thank you, i will increase my rating to 8...."
Text2PDE: Latent Diffusion Models for Accessible Physics Simulation,https://openreview.net/forum?id=Nb3a8aUGfj,5.33,"[3, 5, 6, 6, 6, 6]",3,Turnaround,N/A,N/A,"...sunderstanding about ""text conditioning"". thus, i raised my score to 6 from 5.  nonetheless, some concerns still remain. as the authors also claim the value of other contributions in improving the dif... || ...k this is an important contribution and have thus raised my score.... || ...ion,*** the authors clarified my concerns; thus i raised my score to 6 from 5. as the title ""text2pde"" stands for, the paper proposes a text-based conditioning for pde. although it is an interesting d..."
PixWizard: Versatile Image-to-Image Visual Assistant with Open-Language Instructions,https://openreview.net/forum?id=xuQSp75HmP,6,"[6, 6, 6, 6]",3,Turnaround,N/A,N/A,"...contribution in the revised version, i'm happy to increase my rating to 6.... || ...second primary concern.  overall, i'm tentatively increasing my score to 6, and will consider raising it further after i read the other reviews/answers and following the reviewer discussion.... || ...re answered in a satisfactory manner, i’ll gladly increase my score.  minor clarification questions (skip these if you don’t have time):  3) what are the details of the mhgs? how is it implemented?  4..."
TexTailor: Customized Text-aligned Texturing via Effective Resampling,https://openreview.net/forum?id=1NprT9Kz0d,6,"[6, 6, 6, 6]",3,Turnaround,N/A,N/A,"... finds its flaws as a metric in this task.   i'll increase my rating. please incorporate the discussions in the revision.   cheers.... || ...been adressed by the authors and i will therefore increase my rating accordingly.... || ...es! most of my concerns are revolved. i'd like to increase my rating from 3 to 5.   i still have a concern about q4. i'd like to clarify my point: - lpips, although as a ""corase"" perceptual loss, stil..."
Denoising with a Joint-Embedding Predictive Architecture,https://openreview.net/forum?id=d4njmzM7jf,6.25,"[5, 6, 6, 8]",3,Turnaround,N/A,N/A,"... mar have largely addressed my concerns, and i am increasing my score to 6.... || ...tals.  my main concerns have been addressed, so i increase my score to 6.  looking forward for you open-sourced codebase and models.... || ... some of my concerns have been addressed, so i am increasing my score to 6. best of luck!..."
Co$^{\mathbf{3}}$Gesture: Towards Coherent Concurrent Co-speech 3D Gesture Generation with Interactive Diffusion,https://openreview.net/forum?id=VaowElpVzd,7.5,"[6, 6, 8, 10]",3,Turnaround,N/A,N/A,"...rebuttal, which addresses all my concerns. i have updated my score and would like to maintain my original recommendation for acceptance, given the potential scope of the proposed dataset and the sound... || ...for acceptance.   considering the mixed scores, i raised my score to 10 to encourage dataset work to enter the discussion phase. the dataset presented, especially the raw data and the sharing of filte... || ...tively address my concerns, i would be willing to increase my score...."
Efficient Diffusion Transformer Policies with Mixture of Expert Denoisers for Multitask Learning,https://openreview.net/forum?id=nDmwloEl3N,5.5,"[5, 5, 6, 6]",2,Turnaround,N/A,N/A,"... the rebuttal addressed most of my comments, so i raised my score to 6. i think as the paper is the first one to implement and verify the effectiveness of mode for imitation learning, it has some bene... || ...ess. my major concern is w1-2 &5. i would like to increase my rating  if authors address my concern, especially w5. ['no ethics review needed.'] n/a 5 3 yes..."
You Only Sample Once: Taming One-Step Text-to-Image Synthesis by Self-Cooperative Diffusion GANs,https://openreview.net/forum?id=T7bmHkwzS6,5.6,"[5, 5, 6, 6, 6]",2,Turnaround,N/A,N/A,"...* reviewer syju: ""i have no further questions and raised my score."" * reviewer tjnk: ""it has addressed most of my concerns, and i will raise my score.""  **additional experiments and improvements**  we... || ... up explanations, i have no further questions and raised my score...."
Visually Guided Decoding: Gradient-Free Hard Prompt Inversion with Language Models,https://openreview.net/forum?id=mQ55y4s5hj,6,"[6, 6, 6, 6]",2,Turnaround,N/A,N/A,"... work to showcase additional results. hence, i am increasing my score accordingly.... || ...authors have addressed all my concerns and i have raised my score...."
EVA: Geometric Inverse Design for Fast Protein Motif-Scaffolding with Coupled Flow,https://openreview.net/forum?id=KHkBpvmYVI,6,"[6, 6, 6, 6, 6, 6]",2,Turnaround,N/A,N/A,...thank you for addressing my concerns. i have updated my score accordingly. i believe these responses highlight important points and recommend including them in the manuscript.... || ...ms in) broader areas of machine learning.  i have raised my score to 6....
